# t  Upot  K  Etot  T  lambda
    0.009275     -1976.6554541023      1122.4228675769      -854.2325865254         1.8753932625         1.0001824753
    0.018550     -1997.3614503984      1138.8514528740      -858.5099975244         1.9028428619         0.9983805396
    0.027825     -2024.3153386810      1156.9453209337      -867.3700177473         1.9330748888         0.9964658914
    0.037100     -2046.6642031721      1168.0638946702      -878.6003085018         1.9516522885         0.9953240393
    0.046375     -2059.6266733236      1169.7653176456      -889.8613556780         1.9544951005         0.9951515638
    0.055650     -2064.8895819382      1165.0450187652      -899.8445631730         1.9466082185         0.9956315290
    0.064925     -2066.4309882719      1158.1752549679      -908.2557333040         1.9351299164         0.9963383067
    0.074200     -2066.5156790451      1151.4132540342      -915.1024250109         1.9238316692         0.9970437322
    0.083474     -2065.4855240367      1145.1195531443      -920.3659708923         1.9133158783         0.9977091603
    0.092749     -2063.4318850507      1139.3059702748      -924.1259147758         1.9036022895         0.9983315618
    0.102024     -2061.0035185531      1134.4447936336      -926.5587249195         1.8954800228         0.9988578034
    0.111299     -2060.4512189132      1132.1307741221      -928.3204447911         1.8916136577         0.9991101878
    0.120574     -2064.9788140616      1134.2015553128      -930.7772587488         1.8950736095         0.9988842754
    0.129849     -2074.9703466520      1139.9524186227      -935.0179280293         1.9046824037         0.9982619816
    0.139124     -2085.8529688596      1145.1867112783      -940.6662575813         1.9134280890         0.9977020140
    0.148399     -2091.8109716340      1145.6954931975      -946.1154784365         1.9142781841         0.9976479070
    0.157674     -2091.5243742316      1141.3333999354      -950.1909742962         1.9069898077         0.9981136529
    0.166949     -2087.9415819858      1135.1898087692      -952.7517732166         1.8967248267         0.9987768060
    0.176224     -2084.2920305516      1130.1422491083      -954.1497814433         1.8882911430         0.9993280508
    0.185499     -2082.7568043722      1127.8140111804      -954.9427931918         1.8844010212         0.9995842914
    0.194774     -2085.3453455986      1129.1442969335      -956.2010486651         1.8866237209         0.9994377296
    0.204049     -2091.9928928972      1133.2562770104      -958.7366158868         1.8934941972         0.9989872794
    0.213324     -2099.3087013115      1137.0886455705      -962.2200557411         1.8998974863         0.9985709347
    0.222599     -2104.1043446536      1138.3486590653      -965.7556855883         1.9020027720         0.9984347735
    0.231874     -2106.7419509035      1137.7267101364      -969.0152407671         1.9009635925         0.9985019387
    0.241148     -2109.3151728187      1137.0513804230      -972.2637923958         1.8998352221         0.9985749672
    0.250423     -2112.2601653769      1136.7864982010      -975.4736671759         1.8993926453         0.9986036389
    0.259698     -2115.5068304767      1136.8706711516      -978.6361593251         1.8995332851         0.9985945260
    0.268973     -2119.6292167988      1137.6151254625      -982.0140913363         1.9007771520         0.9985139981
    0.278248     -2125.0421605036      1139.3106460142      -985.7315144894         1.9036101019         0.9983310582
    0.287523     -2133.0027982102      1142.6890881324      -990.3137100778         1.9092549509         0.9979684537
    0.296798     -2144.1864195550      1147.7964365190      -996.3899830360         1.9177885322         0.9974250807
    0.306073     -2156.5510459729      1152.8271932738     -1003.7238526992         1.9261941408         0.9968954186
    0.315348     -2167.7790612021      1156.0003671192     -1011.7786940829         1.9314960186         0.9965641320
    0.324623     -2176.4915802401      1156.4921408448     -1019.9994393953         1.9323176956         0.9965129819
    0.333898     -2181.2705116138      1153.7482324926     -1027.5222791212         1.9277330535         0.9967990382
    0.343173     -2181.5935987586      1148.1721995368     -1033.4213992218         1.9184163735         0.9973853289
    0.352448     -2180.6973958607      1142.8510519552     -1037.8463439054         1.9095255672         0.9979511340
    0.361723     -2182.6162079771      1140.3877676690     -1042.2284403081         1.9054098040         0.9982151756
    0.370998     -2184.8988743143      1139.0163156134     -1045.8825587009         1.9031183218         0.9983627690
    0.380273     -2188.2125779180      1138.7795289636     -1049.4330489543         1.9027226883         0.9983882942
    0.389547     -2194.3472980824      1140.6808984402     -1053.6663996423         1.9058995797         0.9981836839
    0.398822     -2202.5263086457      1143.8682200399     -1058.6580886058         1.9112250961         0.9978424955
    0.408097     -2212.0106421451      1147.4468232680     -1064.5638188771         1.9172043831         0.9974620938
    0.417372     -2221.9939122649      1150.6673441468     -1071.3265681181         1.9225853703         0.9971221471
    0.426647     -2231.3210235850      1152.7452019172     -1078.5758216678         1.9260571461         0.9969040072
    0.435922     -2239.3154827924      1153.3344786824     -1085.9810041100         1.9270417355         0.9968423122
    0.445197     -2245.5004544019      1152.4096347304     -1093.0908196715         1.9254964657         0.9969391732
    0.454472     -2250.4096720620      1150.7465923405     -1099.6630797215         1.9227177817         0.9971138103
    0.463747     -2255.8596736641      1149.6807032784     -1106.1789703857         1.9209368476         0.9972260542
    0.473022     -2261.1226280880      1148.6227939626     -1112.4998341254         1.9191692464         0.9973377013
    0.482297     -2264.8961272184      1146.8537532315     -1118.0423739869         1.9162134557         0.9975249424
    0.491572     -2269.2428612078      1145.7090741224     -1123.5337870854         1.9143008757         0.9976464635
    0.500847     -2273.4692114078      1144.6609931130     -1128.8082182947         1.9125496961         0.9977579819
    0.510122     -2276.0843619179      1142.7434287119     -1133.3409332060         1.9093457456         0.9979626421
    0.519397     -2278.8860090903      1141.3092762265     -1137.5767328638         1.9069495008         0.9981162403
    0.528672     -2283.2514342694      1141.2058860464     -1142.0455482229         1.9067767520         0.9981273311
    0.537947     -2287.3135421837      1140.7938230272     -1146.5197191565         1.9060882590         0.9981715573
    0.547221     -2288.0749239946      1137.9928363310     -1150.0820876636         1.9014082478         0.9984731887
    0.556496     -2285.9638015769      1133.7217342217     -1152.2420673552         1.8942719035         0.9989365345
    0.565771     -2285.9646041728      1131.9029815813     -1154.0616225915         1.8912330519         0.9991350988
