# t  Upot  K  Etot  T  lambda
    0.009275     -1976.6554541023      1235.1106805986      -741.5447735037         1.3746362611         1.0491894776
    0.018550     -1996.5834361895      1341.0987515737      -655.4846846158         1.4925973863         1.0339399505
    0.027825     -2019.9901453842      1428.6567362077      -591.3334091765         1.5900464510         1.0234470324
    0.037100     -2034.7379732256      1492.1158605979      -542.6221126277         1.6606743023         1.0167811994
    0.046375     -2035.7448106178      1532.2481586522      -503.4966519657         1.7053401877         1.0129111752
    0.055650     -2026.3118997089      1556.1642372772      -470.1476624317         1.7319579714         1.0107195715
    0.064925     -2013.9651029829      1572.7318969060      -441.2332060769         1.7503972141         1.0092484523
    0.074200     -2003.1105084315      1586.9726239255      -416.1378845060         1.7662466599         1.0080134766
    0.083474     -1993.4945807729      1599.3519983623      -394.1425824106         1.7800244834         1.0069613751
    0.092749     -1984.1837567651      1609.6922583787      -374.4914983864         1.7915328418         1.0060974470
    0.102024     -1977.7036721563      1620.4316743606      -357.2719977957         1.8034854473         1.0052141458
    0.111299     -1979.6197653060      1635.5214934957      -344.0982718104         1.8202799037         1.0039964553
    0.120574     -1991.2060411934      1654.8172221109      -336.3888190825         1.8417553947         1.0024779404
    0.129849     -2004.4653073699      1671.4599707042      -333.0053366657         1.8602782089         1.0012017150
    0.139124     -2009.4868767508      1678.7421820027      -330.7446947482         1.8683830629         1.0006527502
    0.148399     -2005.7241433044      1677.8290656722      -327.8950776323         1.8673667954         1.0007212742
    0.157674     -1998.5389644342      1674.2354676037      -324.3034968305         1.8633672427         1.0009918161
    0.166949     -1992.7178591905      1672.5795263651      -320.1383328255         1.8615242364         1.0011169481
    0.176224     -1994.3528259168      1676.9856233267      -317.3672025901         1.8664280727         1.0007846485
    0.185499     -2004.9352136785      1687.1003564225      -317.8348572560         1.8776854273         1.0000296116
    0.194774     -2016.4282606229      1695.9261220580      -320.5021385649         1.8875082049         0.9993795219
    0.204049     -2021.0259838619      1697.9880685998      -323.0379152621         1.8898030814         0.9992287978
    0.213324     -2019.4760024539      1694.7714472245      -324.7045552295         1.8862230910         0.9994641163
    0.222599     -2015.0576862400      1689.9913770204      -325.0663092196         1.8809030351         0.9998157765
    0.231874     -2013.0937563612      1688.3719332575      -324.7218231037         1.8791006491         0.9999354520
    0.241148     -2021.3754788051      1694.8596555064      -326.5158232988         1.8863212638         0.9994576491
    0.250423     -2040.2414980234      1708.1089185558      -332.1325794676         1.9010672438         0.9984952355
    0.259698     -2061.9855774895      1720.9802361552      -341.0053413343         1.9153925834         0.9975770636
