# r   g(r)
         2.1229074890         1.0222110690
         2.1461086637         1.0101080017
         2.1693098385         1.0157629698
         2.1925110132         1.0227358069
         2.2157121880         1.0190740469
         2.2389133627         1.0155335274
         2.2621145374         1.0147878555
         2.2853157122         1.0163053134
         2.3085168869         1.0190217505
         2.3317180617         1.0114847004
         2.3549192364         1.0286255670
         2.3781204112         1.0084509090
         2.4013215859         1.0108157239
         2.4245227606         1.0006634467
         2.4477239354         0.9765723031
         2.4709251101         0.9802713426
         2.4941262849         0.9927539577
         2.5173274596         0.9907020044
         2.5405286344         0.9902108994
         2.5637298091         0.9920083155
         2.5869309838         0.9723314297
         2.6101321586         0.9844923745
         2.6333333333         0.9802618993
         2.6565345081         0.9887345553
         2.6797356828         0.9937987626
         2.7029368576         0.9809805622
         2.7261380323         0.9934039190
         2.7493392070         0.9855992963
         2.7725403818         0.9933206201
         2.7957415565         0.9866941515
         2.8189427313         1.0042761841
         2.8421439060         0.9947817348
         2.8653450808         0.9822154832
         2.8885462555         0.9973723458
         2.9117474302         1.0062196920
         2.9349486050         0.9896667905
         2.9581497797         0.9998977533
         2.9813509545         1.0171240060
         3.0045521292         0.9925132253
         3.0277533040         1.0057290696
         3.0509544787         0.9844165450
         3.0741556535         0.9787796826
         3.0973568282         0.9997130402
         3.1205580029         0.9936027858
         3.1437591777         0.9971949116
         3.1669603524         1.0023408257
         3.1901615272         0.9913687017
         3.2133627019         0.9814743810
         3.2365638767         0.9860458525
         3.2597650514         0.9876828093
         3.2829662261         0.9873380885
         3.3061674009         0.9922702017
         3.3293685756         1.0108641653
         3.3525697504         1.0161633590
         3.3757709251         1.0215225867
         3.3989720999         1.0035212667
         3.4221732746         1.0068994490
         3.4453744493         1.0067279283
         3.4685756241         1.0016603026
         3.4917767988         0.9950609413
         3.5149779736         0.9997812876
         3.5381791483         0.9877009454
         3.5613803231         0.9949576210
         3.5845814978         1.0003144464
         3.6077826725         0.9922291187
         3.6309838473         1.0007734099
         3.6541850220         0.9954909756
         3.6773861968         1.0012568461
         3.7005873715         1.0033942618
         3.7237885463         1.0019959112
         3.7469897210         0.9966362934
         3.7701908957         0.9993015400
         3.7933920705         0.9984931735
         3.8165932452         0.9971469575
         3.8397944200         0.9980328714
         3.8629955947         1.0052811052
         3.8861967695         0.9950154228
         3.9093979442         1.0020998276
         3.9325991189         1.0008604408
         3.9558002937         1.0056642393
         3.9790014684         0.9940788249
         4.0022026432         1.0039811422
         4.0254038179         0.9997022485
         4.0486049927         1.0059318567
         4.0718061674         0.9951324970
         4.0950073421         1.0008611674
         4.1182085169         1.0017056318
         4.1414096916         1.0003038664
         4.1646108664         0.9901225259
         4.1878120411         0.9845989802
         4.2110132159         0.9938454017
         4.2342143906         0.9859252559
         4.2574155653         0.9939050289
         4.2806167401         1.0032855645
         4.3038179148         1.0003502272
         4.3270190896         1.0023617881
         4.3502202643         1.0081669158
         4.3734214391         1.0024256570
         4.3966226138         1.0047858273
         4.4198237885         1.0019540278
         4.4430249633         1.0006019979
         4.4662261380         0.9918556936
         4.4894273128         0.9911614114
         4.5126284875         0.9945986096
         4.5358296623         0.9997090043
         4.5590308370         0.9946617186
         4.5822320117         0.9889216294
         4.6054331865         0.9818551414
         4.6286343612         0.9806297231
